Navn;Stasjon;Tid(norsk normaltid);Høyeste vindkast (10 min)
E39 Stordabrua;SN48070;27.01.2022 21:20;18,4
E39 Stordabrua;SN48070;27.01.2022 21:30;18,4
E39 Stordabrua;SN48070;27.01.2022 21:40;19,2
E39 Stordabrua;SN48070;27.01.2022 21:50;19,2
E39 Stordabrua;SN48070;27.01.2022 22:00;16,6
E39 Stordabrua;SN48070;27.01.2022 22:10;17,1
E39 Stordabrua;SN48070;27.01.2022 22:20;17,1
E39 Stordabrua;SN48070;27.01.2022 23:00;15,1
E39 Stordabrua;SN48070;27.01.2022 23:10;19
E39 Stordabrua;SN48070;27.01.2022 23:20;19
E39 Stordabrua;SN48070;27.01.2022 23:30;16,6
E39 Stordabrua;SN48070;27.01.2022 23:40;16,3
E39 Stordabrua;SN48070;27.01.2022 23:50;15,7
E39 Stordabrua;SN48070;28.01.2022 00:00;15,9
E39 Stordabrua;SN48070;28.01.2022 00:10;15,9
E39 Stordabrua;SN48070;28.01.2022 00:20;15,6
E39 Stordabrua;SN48070;28.01.2022 00:30;14,2
E39 Stordabrua;SN48070;28.01.2022 00:40;13,7
E39 Stordabrua;SN48070;28.01.2022 00:50;13,7
E39 Stordabrua;SN48070;28.01.2022 01:00;12,6
E39 Stordabrua;SN48070;28.01.2022 01:10;12,6
E39 Stordabrua;SN48070;28.01.2022 01:20;10,8
E39 Stordabrua;SN48070;28.01.2022 01:30;11,3
E39 Stordabrua;SN48070;28.01.2022 01:40;15,4
E39 Stordabrua;SN48070;28.01.2022 01:50;15,4
E39 Stordabrua;SN48070;28.01.2022 02:00;11,4
E39 Stordabrua;SN48070;28.01.2022 02:10;10,9
E39 Stordabrua;SN48070;28.01.2022 02:20;12,6
E39 Stordabrua;SN48070;28.01.2022 02:30;12,6
E39 Stordabrua;SN48070;28.01.2022 02:40;10,3
E39 Stordabrua;SN48070;28.01.2022 02:50;10,2
E39 Stordabrua;SN48070;28.01.2022 03:00;9,1
E39 Stordabrua;SN48070;28.01.2022 03:10;8,2
E39 Stordabrua;SN48070;28.01.2022 03:20;7,7
E39 Stordabrua;SN48070;28.01.2022 03:30;8,4
E39 Stordabrua;SN48070;28.01.2022 03:40;8,4
E39 Stordabrua;SN48070;28.01.2022 03:50;7,6
E39 Stordabrua;SN48070;28.01.2022 04:00;6,9
E39 Stordabrua;SN48070;28.01.2022 04:10;6,9
E39 Stordabrua;SN48070;28.01.2022 04:20;4,9
E39 Stordabrua;SN48070;28.01.2022 04:30;5
E39 Stordabrua;SN48070;28.01.2022 04:40;6,6
E39 Stordabrua;SN48070;28.01.2022 04:50;7,9
E39 Stordabrua;SN48070;28.01.2022 05:00;7,2
E39 Stordabrua;SN48070;28.01.2022 05:10;4,5
E39 Stordabrua;SN48070;28.01.2022 05:20;4,2
E39 Stordabrua;SN48070;28.01.2022 05:30;4,7
E39 Stordabrua;SN48070;28.01.2022 05:40;4,7
E39 Stordabrua;SN48070;28.01.2022 05:50;4,4
E39 Stordabrua;SN48070;28.01.2022 06:00;2,9
E39 Stordabrua;SN48070;28.01.2022 06:10;4
E39 Stordabrua;SN48070;28.01.2022 06:20;4
E39 Stordabrua;SN48070;28.01.2022 06:30;3,5
E39 Stordabrua;SN48070;28.01.2022 06:40;3,5
E39 Stordabrua;SN48070;28.01.2022 06:50;3
E39 Stordabrua;SN48070;28.01.2022 07:00;1,8
E39 Stordabrua;SN48070;28.01.2022 07:10;1,5
E39 Stordabrua;SN48070;28.01.2022 07:20;1,5
E39 Stordabrua;SN48070;28.01.2022 07:30;1,3
E39 Stordabrua;SN48070;28.01.2022 07:40;1,3
E39 Stordabrua;SN48070;28.01.2022 07:50;1,3
E39 Stordabrua;SN48070;28.01.2022 08:00;1
E39 Stordabrua;SN48070;28.01.2022 08:10;1,4
E39 Stordabrua;SN48070;28.01.2022 08:20;1,4
E39 Stordabrua;SN48070;28.01.2022 08:30;1,3
E39 Stordabrua;SN48070;28.01.2022 08:40;1,7
E39 Stordabrua;SN48070;28.01.2022 08:50;1,7
E39 Stordabrua;SN48070;28.01.2022 09:00;1,5
E39 Stordabrua;SN48070;28.01.2022 09:10;1,5
E39 Stordabrua;SN48070;28.01.2022 09:20;2
E39 Stordabrua;SN48070;28.01.2022 09:30;2,4
E39 Stordabrua;SN48070;28.01.2022 09:40;2,4
E39 Stordabrua;SN48070;28.01.2022 09:50;3,3
E39 Stordabrua;SN48070;28.01.2022 10:00;4,9
E39 Stordabrua;SN48070;28.01.2022 10:10;5,9
E39 Stordabrua;SN48070;28.01.2022 10:20;5,9
E39 Stordabrua;SN48070;28.01.2022 10:30;5,7
E39 Stordabrua;SN48070;28.01.2022 10:40;6,7
E39 Stordabrua;SN48070;28.01.2022 10:50;7,2
E39 Stordabrua;SN48070;28.01.2022 11:00;7,2
E39 Stordabrua;SN48070;28.01.2022 11:10;6,3
E39 Stordabrua;SN48070;28.01.2022 11:20;6,3
E39 Stordabrua;SN48070;28.01.2022 11:30;6,6
E39 Stordabrua;SN48070;28.01.2022 11:40;7,2
E39 Stordabrua;SN48070;28.01.2022 11:50;7,5
E39 Stordabrua;SN48070;28.01.2022 12:00;7,5
E39 Stordabrua;SN48070;28.01.2022 12:10;7,4
E39 Stordabrua;SN48070;28.01.2022 12:20;7,4
E39 Stordabrua;SN48070;28.01.2022 12:30;8
E39 Stordabrua;SN48070;28.01.2022 12:40;8,5
E39 Stordabrua;SN48070;28.01.2022 12:50;8,5
